fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,total_fight_time,wins,losses,draws,total_fights,dq_wins,majority_decision_wins,split_decision_wins,unanimous_decision_wins,ko_tko_wins,submission_wins,tko_doctor_stoppage_wins,Could Not Continue ,dq_losses,majority_decision_losses,split_decision_losses,unanimous_decision_losses,ko_tko_losses,other,overturned,submission_losses,tko_doctor_stoppage_losses
AJ Cunningham,0.0,52.0,127.0,55.0,132.0,0.0,0.0,1.0,26,0.0,26.0,94.0,11.0,15.0,15.0,18.0,50.0,124.0,2.0,3.0,0.0,0.0,78.0,123.0,7.0,13.0,501,1176,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
AJ Dobson,0.0,192.0,431.0,250.0,508.0,5.0,6.0,0.0,424,1.0,105.0,326.0,29.0,40.0,58.0,65.0,167.0,389.0,18.0,29.0,7.0,13.0,278.0,516.0,7.0,20.0,606,2973,1,3,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
AJ Fletcher,0.0,153.0,313.0,242.0,417.0,4.0,12.0,3.0,612,3.0,107.0,251.0,17.0,27.0,29.0,35.0,131.0,275.0,12.0,20.0,10.0,18.0,220.0,405.0,6.0,9.0,951,2769,1,3,0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Aalon Cruz,0.0,2.0,15.0,2.0,15.0,0.0,3.0,0.0,16,0.0,2.0,6.0,0.0,5.0,0.0,4.0,2.0,15.0,0.0,0.0,0.0,0.0,65.0,92.0,0.0,0.0,63,185,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Aaron Brink,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,13,55,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aaron Phillips,0.0,79.0,148.0,425.0,536.0,3.0,6.0,2.0,434,1.0,36.0,93.0,38.0,45.0,5.0,10.0,44.0,102.0,22.0,27.0,13.0,19.0,192.0,340.0,14.0,25.0,1807,3149,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Aaron Pico,0.0,13.0,29.0,13.0,30.0,2.0,3.0,0.0,121,0.0,7.0,23.0,5.0,5.0,1.0,1.0,7.0,21.0,3.0,5.0,3.0,3.0,8.0,16.0,0.0,0.0,0,201,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aaron Riley,0.0,314.0,904.0,581.0,1190.0,8.0,23.0,1.0,1115,0.0,147.0,653.0,92.0,142.0,75.0,109.0,190.0,714.0,102.0,160.0,22.0,30.0,373.0,954.0,11.0,28.0,402,5722,3,6,0,9,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
Aaron Rosa,0.0,132.0,290.0,407.0,598.0,0.0,1.0,0.0,61,0.0,81.0,233.0,42.0,47.0,9.0,10.0,80.0,227.0,52.0,63.0,0.0,0.0,129.0,260.0,2.0,14.0,796,1714,1,2,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Aaron Simpson,6.0,454.0,860.0,800.0,1265.0,32.0,92.0,4.0,3206,0.0,253.0,608.0,97.0,142.0,104.0,110.0,164.0,454.0,184.0,252.0,106.0,154.0,320.0,730.0,5.0,30.0,975,7603,7,4,0,11,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Aaron Wilkinson,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,64,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,54,123,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Abdul Razak Alhassan,9.0,315.0,632.0,369.0,697.0,5.0,15.0,1.0,771,1.0,247.0,533.0,36.0,46.0,32.0,53.0,216.0,487.0,52.0,74.0,47.0,71.0,353.0,783.0,27.0,55.0,1622,5277,6,7,0,13,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0
Abdul-Kareem Al-Selwady,0.0,38.0,68.0,50.0,84.0,3.0,7.0,0.0,164,0.0,15.0,34.0,8.0,11.0,15.0,23.0,34.0,61.0,4.0,7.0,0.0,0.0,39.0,90.0,4.0,5.0,87,649,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdul-Kerim Edilov,0.0,77.0,125.0,150.0,210.0,2.0,2.0,1.0,333,0.0,59.0,105.0,16.0,17.0,2.0,3.0,9.0,22.0,6.0,12.0,62.0,91.0,1.0,13.0,0.0,0.0,0,452,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel Trujillo,3.0,273.0,662.0,370.0,767.0,15.0,33.0,3.0,1135,0.0,195.0,568.0,59.0,75.0,19.0,19.0,145.0,483.0,63.0,97.0,65.0,82.0,238.0,590.0,34.0,57.0,1794,6191,6,4,0,10,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Abner Lloveras,0.0,94.0,189.0,99.0,194.0,2.0,10.0,0.0,173,0.0,55.0,143.0,33.0,40.0,6.0,6.0,76.0,162.0,18.0,27.0,0.0,0.0,103.0,182.0,0.0,0.0,30,900,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Abu Azaitar,0.0,197.0,453.0,364.0,640.0,3.0,8.0,0.0,351,1.0,99.0,325.0,72.0,98.0,26.0,30.0,143.0,380.0,34.0,47.0,20.0,26.0,194.0,399.0,4.0,7.0,906,2696,1,2,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Abubakar Nurmagomedov,0.0,133.0,250.0,246.0,378.0,4.0,18.0,0.0,1219,0.0,90.0,205.0,20.0,22.0,23.0,23.0,119.0,233.0,13.0,15.0,1.0,2.0,125.0,359.0,1.0,9.0,83,2870,2,2,0,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
