event,bout,weight_class,method,round,round_format,time,winner
UFC Fight Night: Walker vs. Zhang ,Johnny Walker vs. Zhang Mingyang,Light Heavyweight Bout,KO/TKO ,2,5 Rnd (5-5-5-5-5),2:37,Johnny Walker 
UFC Fight Night: Walker vs. Zhang ,Brian Ortega vs. Aljamain Sterling,Catch Weight Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Aljamain Sterling 
UFC Fight Night: Walker vs. Zhang ,Sergei Pavlovich vs. Waldo Cortes-Acosta,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Sergei Pavlovich 
UFC Fight Night: Walker vs. Zhang ,Sumudaerji vs. Kevin Borjas,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00, Sumudaerji 
UFC Fight Night: Walker vs. Zhang ,Taiyilake Nueraji vs. Kiefer Crosbie,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:33,Taiyilake Nueraji 
UFC Fight Night: Walker vs. Zhang ,Maheshate vs. Gauge Young,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Gauge Young 
UFC Fight Night: Walker vs. Zhang ,Charles Johnson vs. Lone'er Kavanagh,Flyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:35,Charles Johnson 
UFC Fight Night: Walker vs. Zhang ,Rongzhu vs. Austin Hubbard,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00, Rongzhu 
UFC Fight Night: Walker vs. Zhang ,Michel Pereira vs. Kyle Daukaus,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:43,Kyle Daukaus 
UFC Fight Night: Walker vs. Zhang ,Yizha vs. Westin Wilson,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:37, Yizha 
UFC Fight Night: Walker vs. Zhang ,Xiao Long vs. SuYoung You,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,SuYoung You 
UFC Fight Night: Walker vs. Zhang ,Uran Satybaldiev vs. Diyar Nurgozhay,Light Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),2:45,Uran Satybaldiev 
UFC 319: Du Plessis vs. Chimaev ,Dricus Du Plessis vs. Khamzat Chimaev,UFC Middleweight Title Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Khamzat Chimaev 
UFC 319: Du Plessis vs. Chimaev ,Lerone Murphy vs. Aaron Pico,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:21,Lerone Murphy 
UFC 319: Du Plessis vs. Chimaev ,Geoff Neal vs. Carlos Prates,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:59,Carlos Prates 
UFC 319: Du Plessis vs. Chimaev ,Jared Cannonier vs. Michael Page,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Michael Page 
UFC 319: Du Plessis vs. Chimaev ,Tim Elliott vs. Kai Asakura,Flyweight Bout,Submission ,2,3 Rnd (5-5-5),4:39,Tim Elliott 
UFC 319: Du Plessis vs. Chimaev ,Baisangur Susurkaev vs. Eric Nolan,Middleweight Bout,Submission ,2,3 Rnd (5-5-5),2:01,Baisangur Susurkaev 
UFC 319: Du Plessis vs. Chimaev ,Gerald Meerschaert vs. Michal Oleksiejczuk,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:03,Michal Oleksiejczuk 
UFC 319: Du Plessis vs. Chimaev ,Jessica Andrade vs. Loopy Godinez,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Loopy Godinez 
UFC 319: Du Plessis vs. Chimaev ,Chase Hooper vs. Alexander Hernandez,Lightweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:58,Alexander Hernandez 
