first_name,last_name,dob,full_name,normalized_name,normalized_name_df2,nick_name,height,weight,reach,stance,is_active
AJ,Cunningham,1994-09-07,AJ Cunningham,aj cunningham,aj cunningham,The Savage,70.0,135.0,71.0,Orthodox,False
AJ,Dobson,1992-01-18,AJ Dobson,aj dobson,aj dobson,,73.0,185.0,76.0,Orthodox,True
AJ,Fletcher,1997-02-18,AJ Fletcher,aj fletcher,aj fletcher,The Ghost,70.0,170.0,67.0,Switch,True
AJ,Fonseca,,AJ Fonseca,aj fonseca,aj fonseca,,64.0,145.0,,,False
AJ,Matthews,,AJ Matthews,aj matthews,aj matthews,,71.0,185.0,,,False
AJ,McKee,,AJ McKee,aj mckee,aj mckee,Mercenary,70.0,145.0,,,False
AJ,Siscoe,,AJ Siscoe,aj siscoe,aj siscoe,Let's Go,67.0,135.0,,,False
Aalon,Cruz,1989-09-20,Aalon Cruz,aalon cruz,aalon cruz,,72.0,145.0,78.0,Switch,False
Aaron,Brink,2074-11-12,Aaron Brink,aaron brink,aaron brink,,75.0,205.0,,Orthodox,False
Aaron,Ely,1989-03-18,Aaron Ely,aaron ely,aaron ely,The Cyborg,68.0,135.0,,,False
Aaron,Jeffery,1992-11-14,Aaron Jeffery,aaron jeffery,aaron jeffery,,74.0,185.0,73.0,Orthodox,False
Aaron,Lanfranco,1986-08-26,Aaron Lanfranco,aaron lanfranco,aaron lanfranco,,,155.0,,,False
Aaron,Miller,,Aaron Miller,aaron miller,aaron miller,Blood Spiller,69.0,145.0,,,False
Aaron,Phillips,1989-08-05,Aaron Phillips,aaron phillips,aaron phillips,The Dragon,69.0,135.0,71.0,Southpaw,False
Aaron,Pico,1996-09-23,Aaron Pico,aaron pico,aaron pico,,68.0,145.0,70.0,Orthodox,True
Aaron,Riley,1980-12-09,Aaron Riley,aaron riley,aaron riley,,68.0,155.0,69.0,Southpaw,False
Aaron,Rosa,1983-05-28,Aaron Rosa,aaron rosa,aaron rosa,,76.0,205.0,77.0,Orthodox,False
Aaron,Simpson,2074-07-20,Aaron Simpson,aaron simpson,aaron simpson,A-Train,72.0,170.0,73.0,Orthodox,False
Aaron,Tau,1993-08-21,Aaron Tau,aaron tau,aaron tau,Tauzemup,64.0,125.0,66.0,Switch,False
Aaron,Trujillo,,Aaron Trujillo,aaron trujillo,aaron trujillo,,65.0,125.0,,,False
Aaron,Wetherspoon,,Aaron Wetherspoon,aaron wetherspoon,aaron wetherspoon,Slam,,170.0,,,False
Aaron,Wilkinson,1987-01-31,Aaron Wilkinson,aaron wilkinson,aaron wilkinson,The Daywalker,70.0,155.0,,Orthodox,False
Abdellah,Er-Ramy,1996-09-19,Abdellah Er-Ramy,abdellah er ramy,abdellah er ramy,The Golden Boy,72.0,185.0,74.0,Orthodox,False
Abdul,Razak Alhassan,1985-08-11,Abdul Razak Alhassan,abdul razak alhassan,abdul razak alhassan,,70.0,185.0,73.0,Orthodox,False
Abdul Azeem,Badakhshi,,Abdul Azeem Badakhshi,abdul azeem badakhshi,abdul azeem badakhshi,The Afghan Lion,,145.0,,,True
Abdul Rakhman,Yakhyaev,2001-01-03,Abdul Rakhman Yakhyaev,abdul rakhman yakhyaev,abdul rakhman yakhyaev,The Hunter,74.0,205.0,78.0,Orthodox,True
Abdul-Kareem,Al-Selwady,1995-04-10,Abdul-Kareem Al-Selwady,abdul kareem al selwady,abdul kareem al selwady,Pride of Palestine,68.0,155.0,69.0,Orthodox,True
Abdul-Kerim,Edilov,1991-11-25,Abdul-Kerim Edilov,abdul kerim edilov,abdul kerim edilov,,74.0,205.0,,Orthodox,False
Abel,Cullum,1987-04-21,Abel Cullum,abel cullum,abel cullum,The Silent Assassin,67.0,139.0,,Orthodox,False
Abel,Trujillo,1983-09-18,Abel Trujillo,abel trujillo,abel trujillo,Killa,68.0,155.0,70.0,Orthodox,False
Abner,Lloveras,1982-09-04,Abner Lloveras,abner lloveras,abner lloveras,Skullman,71.0,155.0,,,False
Abongo,Humphrey,,Abongo Humphrey,abongo humphrey,abongo humphrey,,71.0,205.0,,Orthodox,False
Abram,Torres,1982-10-29,Abram Torres,abram torres,abram torres,,70.0,170.0,,,False
Abu,Azaitar,1986-03-10,Abu Azaitar,abu azaitar,abu azaitar,Captain Morocco,69.0,185.0,76.0,Orthodox,False
Abubakar,Nurmagomedov,1989-11-13,Abubakar Nurmagomedov,abubakar nurmagomedov,abubakar nurmagomedov,,71.0,170.0,72.0,Orthodox,True
Abubakar,Vagaev,1993-04-14,Abubakar Vagaev,abubakar vagaev,abubakar vagaev,,,170.0,,,False
Abus,Magomedov,1990-09-02,Abus Magomedov,abus magomedov,abus magomedov,,74.0,185.0,78.0,Orthodox,True
