event,bout,round_number,fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted
UFC Fight Night: Moicano vs. Duncan,Renato Moicano vs. Chris Duncan,1.0,Renato Moicano,0.0,14.0,20.0,16.0,22.0,0.0,2.0,0.0,73,0.0,10.0,16.0,3.0,3.0,1.0,1.0,13.0,19.0,1.0,1.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Renato Moicano vs. Chris Duncan,2.0,Renato Moicano,0.0,7.0,16.0,46.0,62.0,1.0,2.0,1.0,123,0.0,6.0,15.0,1.0,1.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,1.0
UFC Fight Night: Moicano vs. Duncan,Renato Moicano vs. Chris Duncan,1.0,Chris Duncan,0.0,17.0,38.0,19.0,41.0,0.0,1.0,0.0,1,0.0,3.0,22.0,3.0,3.0,11.0,13.0,15.0,36.0,2.0,2.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Renato Moicano vs. Chris Duncan,2.0,Chris Duncan,0.0,10.0,24.0,11.0,25.0,0.0,1.0,0.0,0,0.0,5.0,17.0,2.0,4.0,3.0,3.0,10.0,24.0,0.0,0.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,1.0,Virna Jandiroba,0.0,3.0,10.0,26.0,34.0,3.0,6.0,0.0,180,0.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,2.0,Virna Jandiroba,0.0,9.0,16.0,61.0,79.0,2.0,2.0,0.0,213,0.0,8.0,15.0,1.0,1.0,0.0,0.0,7.0,13.0,1.0,2.0,1.0,1.0
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,3.0,Virna Jandiroba,0.0,14.0,38.0,35.0,61.0,1.0,4.0,0.0,87,0.0,8.0,31.0,6.0,7.0,0.0,0.0,14.0,37.0,0.0,1.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,1.0,Tabatha Ricci,0.0,7.0,13.0,9.0,16.0,0.0,1.0,0.0,0,0.0,5.0,11.0,1.0,1.0,1.0,1.0,7.0,13.0,0.0,0.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,2.0,Tabatha Ricci,0.0,6.0,14.0,50.0,62.0,0.0,0.0,0.0,16,0.0,3.0,10.0,1.0,1.0,2.0,3.0,4.0,12.0,2.0,2.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,3.0,Tabatha Ricci,0.0,24.0,55.0,30.0,66.0,1.0,1.0,0.0,47,1.0,19.0,47.0,3.0,5.0,2.0,3.0,22.0,52.0,2.0,3.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Abdul Rakhman Yakhyaev vs. Brendson Ribeiro,1.0,Abdul Rakhman Yakhyaev,0.0,7.0,15.0,23.0,38.0,2.0,3.0,1.0,116,0.0,6.0,14.0,1.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,4.0,4.0
UFC Fight Night: Moicano vs. Duncan,Abdul Rakhman Yakhyaev vs. Brendson Ribeiro,1.0,Brendson Ribeiro,0.0,8.0,17.0,8.0,17.0,0.0,0.0,0.0,0,0.0,5.0,13.0,1.0,1.0,2.0,3.0,8.0,17.0,0.0,0.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing vs. Rafael Estevam,1.0,Ethyn Ewing,0.0,20.0,47.0,21.0,49.0,0.0,0.0,0.0,15,0.0,16.0,42.0,1.0,1.0,3.0,4.0,17.0,42.0,2.0,4.0,1.0,1.0
UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing vs. Rafael Estevam,2.0,Ethyn Ewing,0.0,67.0,109.0,68.0,110.0,0.0,0.0,0.0,4,0.0,49.0,89.0,16.0,17.0,2.0,3.0,64.0,105.0,3.0,4.0,0.0,0.0
UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing vs. Rafael Estevam,3.0,Ethyn Ewing,1.0,27.0,41.0,27.0,41.0,0.0,0.0,0.0,3,0.0,23.0,37.0,3.0,3.0,1.0,1.0,26.0,40.0,0.0,0.0,1.0,1.0
UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing vs. Rafael Estevam,1.0,Rafael Estevam,0.0,17.0,63.0,17.0,63.0,0.0,4.0,0.0,0,0.0,13.0,54.0,1.0,2.0,3.0,7.0,17.0,63.0,0.0,0.0,0.0,0.0
