event,bout,fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,result
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Ed Herman,0.0,2.0,2.0,5.0,5.0,1.0,2.0,0.0,78,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,57,L
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Jason MacDonald,0.0,5.0,7.0,14.0,16.0,0.0,1.0,2.0,57,1.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,78,W
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Chris Price,0.0,5.0,10.0,7.0,12.0,0.0,0.0,0.0,36,1.0,2.0,7.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,2.0,13.0,26.0,1.0,1.0,164,L
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Kendall Grove,0.0,13.0,26.0,22.0,36.0,1.0,1.0,1.0,164,1.0,12.0,25.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,11.0,21.0,5.0,10.0,0.0,0.0,36,W
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Forrest Petz,0.0,5.0,18.0,19.0,35.0,0.0,0.0,0.0,21,0.0,2.0,14.0,2.0,3.0,1.0,1.0,1.0,9.0,4.0,9.0,0.0,0.0,33.0,50.0,0.0,0.0,50,L
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Marcus Davis,0.0,33.0,50.0,66.0,88.0,0.0,0.0,1.0,50,0.0,17.0,33.0,8.0,9.0,8.0,8.0,5.0,11.0,20.0,24.0,8.0,15.0,5.0,18.0,0.0,0.0,21,W
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Matt Hamill,0.0,14.0,40.0,105.0,148.0,7.0,11.0,0.0,609,0.0,11.0,37.0,0.0,0.0,3.0,3.0,8.0,29.0,3.0,5.0,3.0,6.0,25.0,58.0,0.0,0.0,11,W
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Seth Petruzelli,1.0,25.0,58.0,54.0,88.0,0.0,0.0,1.0,11,0.0,11.0,41.0,8.0,10.0,6.0,7.0,21.0,49.0,3.0,6.0,1.0,3.0,14.0,40.0,7.0,11.0,609,L
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Crafton Wallace,0.0,4.0,18.0,27.0,41.0,0.0,0.0,0.0,45,0.0,3.0,16.0,0.0,1.0,1.0,1.0,4.0,17.0,0.0,0.0,0.0,1.0,13.0,27.0,2.0,3.0,215,L
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Nate Marquardt,0.0,13.0,27.0,31.0,47.0,2.0,3.0,2.0,215,1.0,7.0,20.0,2.0,2.0,4.0,5.0,7.0,16.0,0.0,0.0,6.0,11.0,4.0,18.0,0.0,0.0,45,W
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Josh Haynes,1.0,23.0,101.0,32.0,113.0,1.0,6.0,0.0,173,0.0,15.0,87.0,4.0,9.0,4.0,5.0,12.0,74.0,2.0,7.0,9.0,20.0,50.0,123.0,0.0,1.0,76,L
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Rory Singer,0.0,50.0,123.0,57.0,130.0,0.0,1.0,0.0,76,0.0,44.0,117.0,5.0,5.0,1.0,1.0,38.0,100.0,12.0,22.0,0.0,1.0,23.0,101.0,1.0,6.0,173,W
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,John Alessio,0.0,13.0,82.0,18.0,87.0,2.0,10.0,0.0,253,0.0,12.0,79.0,0.0,2.0,1.0,1.0,10.0,72.0,2.0,9.0,1.0,1.0,63.0,142.0,0.0,0.0,76,L
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,Thiago Alves,0.0,63.0,142.0,84.0,164.0,0.0,0.0,0.0,76,0.0,27.0,95.0,11.0,13.0,25.0,34.0,41.0,104.0,15.0,23.0,7.0,15.0,13.0,82.0,2.0,10.0,253,W
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Ken Shamrock,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,1.0,1.0,126,L
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Tito Ortiz,0.0,18.0,29.0,38.0,52.0,1.0,1.0,0.0,126,0.0,15.0,25.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,3.0,15.0,24.0,0.0,0.0,0.0,0.0,0,W
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Dustin Hazelett,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,218,L
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Tony DeSouza,0.0,5.0,5.0,12.0,12.0,1.0,1.0,1.0,218,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,0.0,0.0,0,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Aisling Daly,0.0,16.0,26.0,52.0,68.0,1.0,2.0,1.0,185,0.0,13.0,21.0,3.0,5.0,0.0,0.0,5.0,11.0,2.0,4.0,9.0,11.0,12.0,15.0,1.0,1.0,73,W
